Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,9.65625,9.0,9.65625,9.0,134000.0,6.254055976867676
2000-01-04,9.28125,8.875,8.875,9.0,68200.0,6.254055976867676
2000-01-05,9.25,9.0,9.0,9.15625,70000.0,6.362634181976318
2000-01-06,9.5,9.03125,9.09375,9.46875,78600.0,6.579787731170654
2000-01-07,9.46875,9.25,9.4375,9.3125,71800.0,6.4712090492248535
2000-01-10,9.34375,9.1875,9.34375,9.28125,67000.0,6.449495315551758
2000-01-11,9.34375,9.25,9.3125,9.25,68200.0,6.427779674530029
2000-01-12,9.3125,9.21875,9.25,9.3125,93000.0,6.4712090492248535
2000-01-13,9.5,9.25,9.3125,9.4375,94400.0,6.558072090148926
2000-01-14,9.5,9.25,9.5,9.25,118000.0,6.427779674530029
2000-01-18,9.1875,8.9375,9.1875,9.0625,74000.0,6.297486782073975
2000-01-19,9.21875,9.0,9.0625,9.09375,106000.0,6.319202899932861
2000-01-20,9.3125,8.875,9.125,8.96875,77400.0,6.232341289520264
2000-01-21,9.1875,8.875,9.03125,9.09375,111200.0,6.319202899932861
2000-01-24,9.28125,8.9375,9.28125,8.9375,120400.0,6.210625171661377
2000-01-25,8.96875,8.5625,8.96875,8.5625,67200.0,5.950039863586426
2000-01-26,8.875,8.5625,8.59375,8.875,91200.0,6.16719388961792
2000-01-27,9.09375,8.9375,8.9375,9.03125,83000.0,6.275767803192139
2000-01-28,9.15625,8.75,9.03125,8.8125,90800.0,6.123762607574463
2000-01-31,9.1875,8.84375,8.84375,9.03125,114600.0,6.275767803192139
2000-02-01,9.0,8.65625,9.0,8.78125,59000.0,6.10204553604126
2000-02-02,8.9375,8.65625,8.71875,8.8125,122200.0,6.123762607574463
2000-02-03,8.875,8.6875,8.8125,8.8125,61600.0,6.123762607574463
2000-02-04,8.78125,8.5625,8.78125,8.6875,101400.0,6.036901950836182
2000-02-07,8.6875,8.5,8.5625,8.6875,62200.0,6.036901950836182
2000-02-08,8.84375,8.5,8.78125,8.5625,70800.0,5.950039863586426
2000-02-09,8.8125,8.3125,8.625,8.4375,98800.0,5.8631768226623535
2000-02-10,8.5,8.21875,8.40625,8.4375,522200.0,5.8631768226623535
2000-02-11,8.53125,7.96875,8.4375,8.0,135000.0,5.559162139892578
2000-02-14,8.25,7.90625,7.96875,8.21875,56200.0,5.7111687660217285
2000-02-15,8.4375,8.15625,8.3125,8.4375,76200.0,5.8631768226623535
2000-02-16,8.53125,8.125,8.4375,8.125,86000.0,5.646022796630859
2000-02-17,8.46875,8.1875,8.21875,8.25,82400.0,5.732883453369141
2000-02-18,8.28125,7.9375,8.28125,7.96875,60400.0,5.537446022033691
2000-02-22,8.0,7.8125,7.96875,7.96875,123800.0,5.537446022033691
2000-02-23,8.09375,7.6875,8.03125,7.875,95600.0,5.472301483154297
2000-02-24,7.9375,7.65625,7.875,7.6875,41400.0,5.342006206512451
2000-02-25,7.75,7.625,7.71875,7.65625,63600.0,5.320291519165039
2000-02-28,7.78125,7.5,7.625,7.65625,110800.0,5.320291519165039
2000-02-29,8.09375,7.53125,7.65625,7.53125,194800.0,5.233428478240967
2000-03-01,7.53125,7.28125,7.5,7.28125,123200.0,5.0597052574157715
2000-03-02,7.5,7.28125,7.28125,7.46875,156600.0,5.189996242523193
2000-03-03,7.5625,7.4375,7.4375,7.5,65000.0,5.21171236038208
2000-03-06,8.0,7.5,7.5,7.78125,179000.0,5.4071526527404785
2000-03-07,7.953125,7.5,7.84375,7.5,222600.0,5.21171236038208
2000-03-08,7.96875,7.875,7.875,7.875,152400.0,5.472301483154297
2000-03-09,7.90625,7.6875,7.78125,7.71875,161200.0,5.3637213706970215
2000-03-10,8.078125,7.59375,7.6875,8.0,167600.0,5.559162139892578
2000-03-13,8.0,7.65625,7.8125,7.84375,85600.0,5.488315582275391
2000-03-14,7.9375,7.84375,7.90625,7.90625,139200.0,5.532044887542725
2000-03-15,8.65625,7.84375,7.90625,8.625,141200.0,6.034959316253662
2000-03-16,9.28125,8.65625,8.65625,9.28125,368600.0,6.494142055511475
2000-03-17,9.5,9.125,9.125,9.46875,267800.0,6.625336647033691
2000-03-20,9.8125,9.46875,9.46875,9.8125,275800.0,6.865859031677246
2000-03-21,9.875,9.59375,9.75,9.875,353400.0,6.909591197967529
2000-03-22,10.0,9.40625,9.875,9.40625,338000.0,6.58160400390625
2000-03-23,9.40625,9.0,9.3125,9.34375,399200.0,6.537874221801758
2000-03-24,9.5,9.0,9.25,9.4375,61600.0,6.603470802307129
2000-03-27,9.5,9.09375,9.375,9.4375,67800.0,6.603470802307129
2000-03-28,9.40625,8.8125,9.375,9.15625,63800.0,6.406680107116699
2000-03-29,9.09375,8.90625,9.09375,8.96875,134400.0,6.275485515594482
2000-03-30,9.5625,9.03125,9.03125,9.5625,83800.0,6.690934181213379
2000-03-31,10.5625,9.5,9.65625,10.375,418200.0,7.2594475746154785
2000-04-03,10.1875,10.0,10.1875,10.0,172000.0,6.997056007385254
2000-04-04,10.1875,9.75,10.0,10.125,154400.0,7.084516525268555
2000-04-05,10.15625,9.65625,10.15625,9.78125,86200.0,6.843991279602051
2000-04-06,10.0,9.8125,9.84375,9.9375,99400.0,6.953324317932129
2000-04-07,10.21875,9.9375,9.9375,10.15625,40200.0,7.106384754180908
2000-04-10,10.1875,9.90625,10.09375,9.90625,71400.0,6.931460857391357
2000-04-11,10.1875,9.84375,9.90625,10.0,375200.0,6.997056007385254
2000-04-12,10.125,9.96875,10.0625,9.96875,295600.0,6.975188255310059
2000-04-13,10.0,9.65625,9.96875,9.96875,219400.0,6.975188255310059
2000-04-14,10.125,9.90625,10.0,9.9375,218800.0,6.953324317932129
2000-04-17,9.90625,9.65625,9.90625,9.75,81200.0,6.8221282958984375
2000-04-18,9.75,9.375,9.75,9.46875,173800.0,6.625336647033691
2000-04-19,9.78125,9.53125,9.53125,9.75,159000.0,6.8221282958984375
2000-04-20,10.0,9.6875,9.71875,9.96875,502200.0,6.975188255310059
2000-04-24,10.3125,9.875,9.875,10.28125,157200.0,7.193849563598633
2000-04-25,11.0,10.34375,10.46875,10.5625,344200.0,7.3906402587890625
2000-04-26,10.625,10.0,10.5625,10.15625,147200.0,7.106384754180908
2000-04-27,10.8125,10.09375,10.15625,10.5,178400.0,7.346909523010254
2000-04-28,10.46875,10.125,10.4375,10.46875,65600.0,7.3250412940979
2000-05-01,10.75,10.40625,10.40625,10.59375,260200.0,7.412507057189941
2000-05-02,10.75,10.5625,10.625,10.65625,71400.0,7.456239223480225
2000-05-03,11.125,10.71875,10.71875,11.09375,355200.0,7.76235818862915
2000-05-04,11.25,10.6875,11.0625,10.75,165200.0,7.521835803985596
2000-05-05,11.25,10.625,10.78125,10.84375,237600.0,7.587430000305176
2000-05-08,11.0,10.78125,10.875,11.0,86800.0,7.696760654449463
2000-05-09,11.0,10.6875,10.9375,11.0,196200.0,7.696760654449463
2000-05-10,10.9375,10.75,10.9375,10.78125,70400.0,7.543698787689209
2000-05-11,11.0,10.8125,10.84375,10.96875,182400.0,7.6748948097229
2000-05-12,11.0,10.78125,10.90625,10.9375,75800.0,7.653028964996338
2000-05-15,10.96875,10.78125,10.90625,10.96875,72600.0,7.6748948097229
2000-05-16,11.5625,10.90625,11.0,11.40625,170600.0,7.981017589569092
2000-05-17,11.4375,11.125,11.4375,11.15625,82800.0,7.806087970733643
2000-05-18,11.46875,11.1875,11.25,11.4375,152000.0,8.002883911132812
2000-05-19,11.4375,11.0,11.3125,11.375,100000.0,7.959150314331055
2000-05-22,11.5625,11.40625,11.4375,11.53125,78000.0,8.068479537963867
2000-05-23,11.75,11.5,11.59375,11.625,231400.0,8.134075164794922
2000-05-24,11.78125,11.40625,11.59375,11.71875,114600.0,8.199674606323242
2000-05-25,11.84375,11.5625,11.75,11.6875,159800.0,8.177809715270996
2000-05-26,11.75,11.1875,11.75,11.21875,99800.0,7.849819660186768
2000-05-30,11.625,11.03125,11.125,11.46875,116400.0,8.024746894836426
2000-05-31,11.5,11.0,11.46875,11.0,153600.0,7.696760654449463
2000-06-01,11.03125,10.5,11.03125,10.78125,229600.0,7.543698787689209
2000-06-02,11.46875,10.6875,10.6875,11.34375,133400.0,7.93727970123291
2000-06-05,11.28125,10.84375,11.28125,10.9375,44600.0,7.653028964996338
2000-06-06,11.0,10.875,10.96875,10.96875,36400.0,7.6748948097229
2000-06-07,11.46875,10.9375,10.96875,11.40625,257800.0,7.981017589569092
2000-06-08,11.375,11.0,11.375,11.03125,35200.0,7.718626022338867
2000-06-09,11.15625,11.03125,11.09375,11.0625,21800.0,7.74049186706543
2000-06-12,11.5,11.0625,11.0625,11.3125,70000.0,7.91541862487793
2000-06-13,11.5,11.15625,11.21875,11.1875,143400.0,7.866199493408203
2000-06-14,11.21875,10.8125,11.0,10.9375,140400.0,7.690418243408203
2000-06-15,11.0,10.6875,11.0,10.875,138000.0,7.646475315093994
2000-06-16,10.875,10.6875,10.84375,10.84375,203800.0,7.624502658843994
2000-06-19,10.875,10.625,10.875,10.8125,45000.0,7.602531433105469
2000-06-20,10.8125,10.5,10.8125,10.59375,155000.0,7.4487223625183105
2000-06-21,10.6875,10.46875,10.6875,10.5,272200.0,7.382798671722412
2000-06-22,10.4375,10.1875,10.4375,10.1875,202200.0,7.16308069229126
2000-06-23,10.21875,10.03125,10.1875,10.15625,229400.0,7.141103267669678
2000-06-26,10.25,10.15625,10.25,10.25,33600.0,7.207021713256836
2000-06-27,10.21875,10.09375,10.1875,10.125,141200.0,7.119129180908203
2000-06-28,10.875,10.1875,10.1875,10.875,239200.0,7.646475315093994
2000-06-29,11.3125,10.71875,10.875,11.03125,200600.0,7.756335735321045
2000-06-30,11.25,9.875,11.0625,9.875,633600.0,6.943351745605469
2000-07-03,10.8125,10.0,10.0,10.78125,95200.0,7.580559730529785
2000-07-05,11.0625,10.75,10.78125,10.9375,219600.0,7.690418243408203
2000-07-06,11.0625,10.6875,10.96875,10.75,113600.0,7.558584213256836
2000-07-07,11.1875,10.75,10.75,11.15625,205000.0,7.844224452972412
2000-07-10,11.34375,11.0625,11.15625,11.21875,124400.0,7.888172626495361
2000-07-11,11.40625,10.9375,11.15625,11.03125,99000.0,7.756335735321045
2000-07-12,11.4375,11.03125,11.09375,11.34375,45400.0,7.976062297821045
2000-07-13,11.34375,11.0,11.3125,11.1875,165600.0,7.866199493408203
2000-07-14,11.1875,11.125,11.1875,11.125,50000.0,7.822256088256836
2000-07-17,11.59375,11.125,11.125,11.15625,109400.0,7.844224452972412
2000-07-18,11.28125,11.09375,11.28125,11.09375,101200.0,7.800282001495361
2000-07-19,11.1875,11.09375,11.15625,11.09375,111600.0,7.800282001495361
2000-07-20,11.21875,11.09375,11.15625,11.15625,205000.0,7.844224452972412
2000-07-21,11.84375,11.15625,11.1875,11.8125,244400.0,8.305652618408203
2000-07-24,11.75,11.1875,11.75,11.28125,98000.0,7.932118892669678
2000-07-25,12.0,11.21875,11.3125,11.90625,178200.0,8.37157154083252
2000-07-26,11.9375,11.625,11.9375,11.75,231800.0,8.261706352233887
2000-07-27,11.96875,11.625,11.75,11.8125,135000.0,8.305652618408203
2000-07-28,12.0,11.625,11.6875,12.0,212000.0,8.43748664855957
2000-07-31,12.375,12.125,12.125,12.34375,270600.0,8.679186820983887
2000-08-01,12.375,12.21875,12.3125,12.34375,74200.0,8.679186820983887
2000-08-02,12.375,12.0,12.375,12.21875,256800.0,8.591300010681152
2000-08-03,12.34375,12.09375,12.15625,12.21875,107400.0,8.591300010681152
2000-08-04,12.21875,11.875,12.15625,12.0625,128800.0,8.481428146362305
2000-08-07,12.25,12.09375,12.09375,12.25,874200.0,8.613271713256836
2000-08-08,12.65625,12.25,12.34375,12.28125,242400.0,8.635242462158203
2000-08-09,12.625,12.125,12.1875,12.125,189800.0,8.525378227233887
2000-08-10,12.28125,11.875,12.0625,12.0625,135800.0,8.481428146362305
2000-08-11,12.1875,12.0,12.09375,12.03125,411000.0,8.459457397460938
2000-08-14,12.625,12.0625,12.0625,12.46875,125200.0,8.76707935333252
2000-08-15,12.5,12.0625,12.5,12.3125,100600.0,8.657215118408203
2000-08-16,13.0625,12.46875,12.46875,12.84375,404800.0,9.030746459960938
2000-08-17,13.03125,12.625,12.875,12.65625,472600.0,8.898916244506836
2000-08-18,12.625,12.0,12.625,12.4375,165800.0,8.745105743408203
2000-08-21,12.625,12.375,12.40625,12.5,128200.0,8.78905200958252
2000-08-22,12.8125,12.40625,12.4375,12.8125,138600.0,9.008779525756836
2000-08-23,12.8125,12.46875,12.8125,12.59375,119200.0,8.854968070983887
2000-08-24,12.75,12.375,12.625,12.375,213800.0,8.701159477233887
2000-08-25,12.78125,12.40625,12.4375,12.6875,236200.0,8.920888900756836
2000-08-28,12.71875,12.25,12.6875,12.375,137200.0,8.701159477233887
2000-08-29,12.71875,12.375,12.40625,12.375,137000.0,8.701159477233887
2000-08-30,12.65625,12.3125,12.3125,12.4375,98800.0,8.745105743408203
2000-08-31,12.59375,12.375,12.53125,12.40625,143400.0,8.72313404083252
2000-09-01,12.5,12.1875,12.4375,12.3125,105200.0,8.657215118408203
2000-09-05,12.25,12.15625,12.1875,12.21875,78600.0,8.591300010681152
2000-09-06,12.5,12.125,12.34375,12.125,272400.0,8.525378227233887
2000-09-07,12.03125,11.5,12.03125,11.625,246000.0,8.173820495605469
2000-09-08,11.75,11.40625,11.6875,11.59375,175000.0,8.151846885681152
2000-09-11,11.84375,11.59375,11.59375,11.84375,43600.0,8.327625274658203
2000-09-12,11.9375,11.59375,11.78125,11.75,161800.0,8.261706352233887
2000-09-13,11.75,11.28125,11.75,11.375,60200.0,8.035650253295898
2000-09-14,11.46875,11.3125,11.4375,11.34375,29400.0,8.013572692871094
2000-09-15,11.21875,10.78125,11.15625,10.84375,743800.0,7.6603593826293945
2000-09-18,10.96875,10.4375,10.90625,10.53125,128000.0,7.439599514007568
2000-09-19,10.625,10.28125,10.53125,10.34375,216200.0,7.307143211364746
2000-09-20,10.5625,9.90625,10.34375,10.03125,187000.0,7.08638334274292
2000-09-21,10.25,9.84375,9.9375,9.96875,238400.0,7.042232513427734
2000-09-22,9.90625,9.6875,9.90625,9.8125,139000.0,6.931849479675293
2000-09-25,9.875,9.6875,9.875,9.6875,96000.0,6.84354829788208
2000-09-26,9.6875,9.25,9.6875,9.34375,166600.0,6.600712776184082
2000-09-27,9.875,9.3125,9.375,9.84375,526200.0,6.953927516937256
2000-09-28,10.28125,9.75,9.75,10.1875,149600.0,7.196767330169678
2000-09-29,10.375,10.09375,10.28125,10.09375,153400.0,7.130530834197998
2000-10-02,10.1875,9.3125,10.1875,9.5,341800.0,6.711092948913574
2000-10-03,10.09375,9.53125,9.53125,9.875,212800.0,6.976005554199219
2000-10-04,10.96875,9.875,9.875,10.15625,318600.0,7.17468786239624
2000-10-05,10.46875,10.15625,10.21875,10.25,248800.0,7.240915775299072
2000-10-06,11.15625,10.28125,10.34375,10.9375,253600.0,7.7265849113464355
2000-10-09,10.96875,10.59375,10.9375,10.8125,159600.0,7.638284683227539
