Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,34.4375,33.75,34.375,33.75,581900.0,12.383270263671875
2000-01-04,34.3125,33.5625,33.5625,34.1875,602400.0,12.543793678283691
2000-01-05,35.875,34.375,34.375,35.75,817800.0,13.117094039916992
2000-01-06,35.875,35.0625,35.25,35.8125,680900.0,13.140024185180664
2000-01-07,36.1875,35.625,35.8125,36.0625,391100.0,13.231751441955566
2000-01-10,36.125,35.0,36.125,35.125,481700.0,12.887778282165527
2000-01-11,35.25,34.3125,35.125,34.4375,544600.0,12.635522842407227
2000-01-12,35.0,34.375,34.4375,34.5625,749000.0,12.68138599395752
2000-01-13,34.875,34.0,34.875,34.25,452600.0,12.566722869873047
2000-01-14,34.375,33.5625,34.125,33.6875,646700.0,12.360339164733887
2000-01-18,33.4375,32.5,33.25,32.625,740500.0,11.970492362976074
2000-01-19,33.5,32.8125,32.875,33.25,453700.0,12.199810981750488
2000-01-20,33.375,32.8125,33.25,32.875,526300.0,12.062223434448242
2000-01-21,34.25,33.0,33.125,33.5625,695400.0,12.314475059509277
2000-01-24,34.5,34.0,34.375,34.0,643500.0,12.474997520446777
2000-01-25,34.25,32.875,34.125,33.0,492000.0,12.108080863952637
2000-01-26,34.0,33.0,33.25,34.0,341600.0,12.474997520446777
2000-01-27,34.25,32.8125,34.0,33.3125,469300.0,12.222745895385742
2000-01-28,33.8125,32.5,33.3125,32.5625,631600.0,11.947563171386719
2000-01-31,32.875,32.3125,32.625,32.6875,555800.0,11.993424415588379
2000-02-01,33.0625,32.5,32.75,32.875,626500.0,12.062223434448242
2000-02-02,33.0,32.3125,32.875,32.5,394000.0,11.924633979797363
2000-02-03,33.125,32.5,32.5625,32.8125,1015300.0,12.039289474487305
2000-02-04,32.875,31.625,32.8125,32.25,864300.0,11.832901000976562
2000-02-07,32.375,31.5625,32.3125,31.5625,467400.0,11.580648422241211
2000-02-08,31.625,31.1875,31.375,31.5,578900.0,11.557717323303223
2000-02-09,31.6875,31.3125,31.4375,31.4375,845300.0,11.534781455993652
2000-02-10,32.0625,31.4375,31.4375,31.8125,690400.0,11.672374725341797
2000-02-11,32.125,31.875,31.9375,32.125,1652100.0,11.78703784942627
2000-02-14,31.875,31.0625,31.75,31.25,1234200.0,11.663870811462402
2000-02-15,31.375,31.0,31.25,31.0625,389600.0,11.593879699707031
2000-02-16,30.9375,30.4375,30.9375,30.8125,349700.0,11.500571250915527
2000-02-17,30.8125,29.125,30.8125,29.25,1465300.0,10.917378425598145
2000-02-18,29.25,28.0,29.25,28.125,1251200.0,10.497482299804688
2000-02-22,28.25,27.8125,28.25,27.875,961700.0,10.404167175292969
2000-02-23,27.9375,27.5,27.9375,27.5,1122900.0,10.264203071594238
2000-02-24,27.5625,26.3125,27.5,26.75,1128600.0,9.984272003173828
2000-02-25,27.25,26.1875,26.75,26.1875,854600.0,9.774324417114258
2000-02-28,27.8125,26.5,26.75,27.375,1126000.0,10.217550277709961
2000-02-29,27.8125,27.25,27.3125,27.5625,609200.0,10.287529945373535
2000-03-01,27.875,26.8125,27.75,27.125,723200.0,10.124239921569824
2000-03-02,27.4375,27.0,27.0,27.25,551900.0,10.170893669128418
2000-03-03,27.875,27.25,27.5,27.375,415500.0,10.217550277709961
2000-03-06,27.625,26.9375,27.375,27.4375,1350400.0,10.240874290466309
2000-03-07,27.9375,27.4375,27.5,27.625,628000.0,10.310858726501465
2000-03-08,27.9375,27.375,27.5,27.5,864200.0,10.264203071594238
2000-03-09,27.6875,27.25,27.625,27.5,404300.0,10.264203071594238
2000-03-10,27.5625,27.375,27.5,27.4375,395000.0,10.240874290466309
2000-03-13,27.6875,27.25,27.25,27.6875,512900.0,10.334185600280762
2000-03-14,27.8125,27.375,27.5,27.625,473700.0,10.310858726501465
2000-03-15,29.125,27.5,27.5,29.125,790100.0,10.870722770690918
2000-03-16,31.25,30.0625,31.0,31.0,1198300.0,11.570557594299316
2000-03-17,31.0,30.5625,31.0,30.6875,798100.0,11.453920364379883
2000-03-20,30.9375,30.4375,30.5,30.6875,535200.0,11.453920364379883
2000-03-21,31.0625,30.0625,30.75,30.5,575300.0,11.383935928344727
2000-03-22,30.25,29.1875,30.25,29.375,300100.0,10.964035987854004
2000-03-23,30.125,29.3125,29.4375,30.125,397300.0,11.243966102600098
2000-03-24,30.125,29.0,30.0625,29.25,1796000.0,10.917378425598145
2000-03-27,29.3125,28.75,28.75,29.0625,636100.0,10.847396850585938
2000-03-28,29.125,28.4375,29.0,28.625,761300.0,10.684100151062012
2000-03-29,29.25,28.6875,28.75,29.0,603600.0,10.824069023132324
2000-03-30,29.5625,28.8125,29.125,29.125,491900.0,10.870722770690918
2000-03-31,29.375,28.75,29.375,29.125,553200.0,10.870722770690918
2000-04-03,29.4375,28.875,29.125,29.0,798300.0,10.824069023132324
2000-04-04,30.1875,29.0,29.0625,30.1875,1021600.0,11.267302513122559
2000-04-05,30.6875,29.5625,30.0,29.8125,565800.0,11.127326965332031
2000-04-06,30.1875,29.75,30.0,29.8125,373800.0,11.127326965332031
2000-04-07,29.9375,29.5,29.8125,29.6875,375000.0,11.080670356750488
2000-04-10,30.25,29.6875,29.6875,29.9375,859600.0,11.17398738861084
2000-04-11,30.8125,30.0,30.125,30.3125,2577100.0,11.313950538635254
2000-04-12,31.3125,30.5,30.5625,30.625,452300.0,11.430591583251953
2000-04-13,32.375,30.625,30.625,31.9375,409700.0,11.920475959777832
2000-04-14,32.1875,31.1875,31.75,31.3125,615700.0,11.687196731567383
2000-04-17,32.125,30.8125,31.125,31.9375,750800.0,11.920475959777832
2000-04-18,32.4375,31.8125,31.875,32.25,672000.0,12.037107467651367
2000-04-19,32.75,31.875,32.1875,32.5,590600.0,12.130424499511719
2000-04-20,33.0625,32.375,32.5,33.0625,448900.0,12.340371131896973
2000-04-24,34.75,33.125,33.125,34.75,526900.0,12.970219612121582
2000-04-25,35.9375,34.3125,34.75,35.625,642000.0,13.296807289123535
2000-04-26,36.8125,35.5625,35.6875,36.6875,700600.0,13.693377494812012
2000-04-27,36.75,36.125,36.3125,36.4375,813300.0,13.600067138671875
2000-04-28,36.625,35.0,36.4375,35.1875,856600.0,13.133511543273926
2000-05-01,35.125,34.0,35.0625,34.5,836600.0,12.876911163330078
2000-05-02,34.875,33.625,34.375,33.6875,310100.0,12.573647499084473
2000-05-03,33.6875,33.25,33.625,33.625,312700.0,12.550315856933594
2000-05-04,34.875,32.9375,33.4375,34.3125,622500.0,12.806923866271973
2000-05-05,34.125,33.5,34.125,34.0,174200.0,12.690284729003906
2000-05-08,35.6875,33.6875,33.875,34.5,420900.0,12.876911163330078
2000-05-09,34.4375,33.75,34.25,34.25,538400.0,12.783599853515625
2000-05-10,34.75,34.0625,34.25,34.625,683100.0,12.923562049865723
2000-05-11,35.1875,34.375,34.5625,35.0625,385600.0,13.086856842041016
2000-05-12,35.0625,34.4375,34.9375,34.5625,1822500.0,12.900238990783691
